"","Day","Treatment","Tank","Flow","Coral","average_yield"
"1",1,"AMB","1","Low","Y_1",0.599
"2",3,"AMB","1","Low","Y_1",0.586333333333333
"3",5,"AMB","1","Low","Y_1",0.612
"4",6,"AMB","1","Low","Y_1",0.586333333333333
"5",7,"AMB","1","Low","Y_1",0.575333333333333
"6",1,"AMB","2","Low","Y_1",0.595666666666667
"7",3,"AMB","2","Low","Y_1",0.575333333333333
"8",5,"AMB","2","Low","Y_1",0.578333333333333
"9",6,"AMB","2","Low","Y_1",0.546666666666667
"10",7,"AMB","2","Low","Y_1",0.501666666666667
"11",1,"HT","1","Low","Y_1",0.577666666666667
"12",3,"HT","1","Low","Y_1",0.617
"13",5,"HT","1","Low","Y_1",0.572333333333333
"14",6,"HT","1","Low","Y_1",0.582666666666667
"15",7,"HT","1","Low","Y_1",0.593333333333333
"16",1,"HT","2","Low","Y_1",0.598333333333333
"17",3,"HT","2","Low","Y_1",0.609
"18",6,"HT","2","Low","Y_1",0.596
"19",7,"HT","2","Low","Y_1",0.578
"20",8,"AMB","1","Low","Y_1",0.501
"21",8,"AMB","2","Low","Y_1",0.545666666666667
"22",8,"HT","1","Low","Y_1",0.528
"23",8,"HT","2","Low","Y_1",0.539333333333333
"24",9,"AMB","1","Low","Y_1",0.609
"25",9,"AMB","2","Low","Y_1",0.583
"26",9,"HT","1","Low","Y_1",0.476666666666667
"27",9,"HT","2","Low","Y_1",0.525666666666667
"28",10,"AMB","1","Low","Y_1",0.58
"29",10,"AMB","2","Low","Y_1",0.579
"30",10,"HT","1","Low","Y_1",0.577666666666667
"31",10,"HT","2","Low","Y_1",0.548666666666667
"32",11,"AMB","1","Low","Y_1",0.610333333333333
"33",11,"AMB","2","Low","Y_1",0.572333333333333
"34",11,"HT","1","Low","Y_1",0.575
"35",11,"HT","2","Low","Y_1",0.568666666666667
"36",12,"AMB","1","Low","Y_1",0.593
"37",12,"AMB","2","Low","Y_1",0.598
"38",12,"HT","1","Low","Y_1",0.478
"39",12,"HT","2","Low","Y_1",0.577333333333333
"40",13,"AMB","1","Low","Y_1",0.588666666666667
"41",13,"AMB","2","Low","Y_1",0.610333333333333
"42",13,"HT","1","Low","Y_1",0.597333333333333
"43",13,"HT","2","Low","Y_1",0.612333333333333
"44",14,"AMB","1","Low","Y_1",0.592333333333333
"45",14,"AMB","2","Low","Y_1",0.566333333333333
"46",14,"HT","1","Low","Y_1",0.534666666666667
"47",14,"HT","2","Low","Y_1",0.588
"48",15,"AMB","1","Low","Y_1",0.619333333333333
"49",15,"AMB","2","Low","Y_1",0.606333333333333
"50",15,"HT","1","Low","Y_1",0.518
"51",15,"HT","2","Low","Y_1",0.497333333333333
"52",16,"AMB","1","Low","Y_1",0.604333333333333
"53",16,"AMB","2","Low","Y_1",0.605666666666667
"54",16,"HT","1","Low","Y_1",0.201666666666667
"55",16,"HT","2","Low","Y_1",0.396
"56",17,"AMB","1","Low","Y_1",0.603333333333333
"57",17,"AMB","2","Low","Y_1",0.613333333333333
"58",17,"HT","1","Low","Y_1",0.332666666666667
"59",17,"HT","2","Low","Y_1",0.354666666666667
"60",18,"AMB","1","Low","Y_1",0.608333333333333
"61",18,"AMB","2","Low","Y_1",0.529333333333333
"62",18,"HT","1","Low","Y_1",0.244333333333333
"63",18,"HT","2","Low","Y_1",0.175
"64",19,"AMB","1","Low","Y_1",0.579666666666667
"65",19,"AMB","2","Low","Y_1",0.564333333333333
"66",19,"HT","1","Low","Y_1",0.221666666666667
"67",19,"HT","2","Low","Y_1",0.259333333333333
"68",20,"HT","1","Low","Y_1",0.179
"69",20,"HT","2","Low","Y_1",0.175666666666667
"70",20,"AMB","1","Low","Y_1",0.614
"71",20,"AMB","2","Low","Y_1",0.61
"72",1,"AMB","1","High","Y_1",0.588
"73",3,"AMB","1","High","Y_1",0.574
"74",5,"AMB","1","High","Y_1",0.606333333333333
"75",6,"AMB","1","High","Y_1",0.587666666666667
"76",7,"AMB","1","High","Y_1",0.582333333333333
"77",1,"AMB","2","High","Y_1",0.629
"78",3,"AMB","2","High","Y_1",0.582333333333333
"79",5,"AMB","2","High","Y_1",0.626666666666667
"80",6,"AMB","2","High","Y_1",0.601333333333333
"81",7,"AMB","2","High","Y_1",0.610666666666667
"82",1,"HT","1","High","Y_1",0.608333333333333
"83",3,"HT","1","High","Y_1",0.628666666666667
"84",5,"HT","1","High","Y_1",0.573333333333333
"85",6,"HT","1","High","Y_1",0.603333333333333
"86",7,"HT","1","High","Y_1",0.609333333333333
"87",1,"HT","2","High","Y_1",0.628
"88",3,"HT","2","High","Y_1",0.621
"89",6,"HT","2","High","Y_1",0.619666666666667
"90",7,"HT","2","High","Y_1",0.576333333333333
"91",8,"AMB","1","High","Y_1",0.54
"92",8,"AMB","2","High","Y_1",0.588666666666667
"93",8,"HT","1","High","Y_1",0.573333333333333
"94",8,"HT","2","High","Y_1",0.564333333333333
"95",9,"AMB","1","High","Y_1",0.602333333333333
"96",9,"AMB","2","High","Y_1",0.628333333333333
"97",9,"HT","1","High","Y_1",0.454666666666667
"98",9,"HT","2","High","Y_1",0.596666666666667
"99",10,"AMB","1","High","Y_1",0.56
"100",10,"AMB","2","High","Y_1",0.596
"101",10,"HT","1","High","Y_1",0.540666666666667
"102",10,"HT","2","High","Y_1",0.584666666666667
"103",11,"AMB","1","High","Y_1",0.584333333333333
"104",11,"AMB","2","High","Y_1",0.613666666666667
"105",11,"HT","1","High","Y_1",0.559
"106",11,"HT","2","High","Y_1",0.593666666666667
"107",12,"AMB","1","High","Y_1",0.569666666666667
"108",12,"AMB","2","High","Y_1",0.625
"109",12,"HT","1","High","Y_1",0.576666666666667
"110",12,"HT","2","High","Y_1",0.588666666666667
"111",13,"AMB","1","High","Y_1",0.595666666666667
"112",13,"AMB","2","High","Y_1",0.630666666666667
"113",13,"HT","1","High","Y_1",0.53
"114",13,"HT","2","High","Y_1",0.598333333333333
"115",14,"AMB","1","High","Y_1",0.589666666666667
"116",14,"AMB","2","High","Y_1",0.611333333333333
"117",14,"HT","1","High","Y_1",0.484
"118",14,"HT","2","High","Y_1",0.452
"119",15,"AMB","1","High","Y_1",0.582
"120",15,"AMB","2","High","Y_1",0.608333333333333
"121",15,"HT","1","High","Y_1",0.498333333333333
"122",15,"HT","2","High","Y_1",0.575666666666667
"123",16,"AMB","1","High","Y_1",0.628333333333333
"124",16,"AMB","2","High","Y_1",0.632666666666667
"125",16,"HT","1","High","Y_1",0.485
"126",16,"HT","2","High","Y_1",0.542333333333333
"127",17,"AMB","1","High","Y_1",0.588333333333333
"128",17,"AMB","2","High","Y_1",0.625666666666667
"129",17,"HT","1","High","Y_1",0.474666666666667
"130",17,"HT","2","High","Y_1",0.573666666666667
"131",18,"AMB","1","High","Y_1",0.597666666666667
"132",18,"AMB","2","High","Y_1",0.617
"133",18,"HT","1","High","Y_1",0.340333333333333
"134",18,"HT","2","High","Y_1",0.534666666666667
"135",19,"AMB","1","High","Y_1",0.604
"136",19,"AMB","2","High","Y_1",0.597666666666667
"137",19,"HT","1","High","Y_1",0.202
"138",19,"HT","2","High","Y_1",0.49
"139",20,"HT","1","High","Y_1",0.312
"140",20,"HT","2","High","Y_1",0.51
"141",20,"AMB","1","High","Y_1",0.518333333333333
"142",20,"AMB","2","High","Y_1",0.630333333333333
"143",1,"AMB","1","Low","Y_2",0.596333333333333
"144",3,"AMB","1","Low","Y_2",0.588333333333333
"145",5,"AMB","1","Low","Y_2",0.633666666666667
"146",6,"AMB","1","Low","Y_2",0.612333333333333
"147",7,"AMB","1","Low","Y_2",0.596666666666667
"148",1,"AMB","2","Low","Y_2",0.580333333333333
"149",3,"AMB","2","Low","Y_2",0.596666666666667
"150",5,"AMB","2","Low","Y_2",0.585
"151",6,"AMB","2","Low","Y_2",0.570333333333333
"152",7,"AMB","2","Low","Y_2",0.587666666666667
"153",1,"HT","1","Low","Y_2",0.580666666666667
"154",3,"HT","1","Low","Y_2",0.611666666666667
"155",5,"HT","1","Low","Y_2",0.603
"156",6,"HT","1","Low","Y_2",0.619333333333333
"157",7,"HT","1","Low","Y_2",0.581666666666667
"158",1,"HT","2","Low","Y_2",0.604666666666667
"159",3,"HT","2","Low","Y_2",0.597666666666667
"160",6,"HT","2","Low","Y_2",0.582
"161",7,"HT","2","Low","Y_2",0.568666666666667
"162",8,"AMB","1","Low","Y_2",0.561666666666667
"163",8,"AMB","2","Low","Y_2",0.563333333333333
"164",8,"HT","1","Low","Y_2",0.593333333333333
"165",8,"HT","2","Low","Y_2",0.567333333333333
"166",9,"AMB","1","Low","Y_2",0.617
"167",9,"AMB","2","Low","Y_2",0.600666666666667
"168",9,"HT","1","Low","Y_2",0.477333333333333
"169",9,"HT","2","Low","Y_2",0.554333333333333
"170",10,"AMB","1","Low","Y_2",0.552333333333333
"171",10,"AMB","2","Low","Y_2",0.558
"172",10,"HT","1","Low","Y_2",0.562666666666667
"173",10,"HT","2","Low","Y_2",0.569
"174",11,"AMB","1","Low","Y_2",0.576666666666667
"175",11,"AMB","2","Low","Y_2",0.586333333333333
"176",11,"HT","1","Low","Y_2",0.578666666666667
"177",11,"HT","2","Low","Y_2",0.518
"178",12,"AMB","1","Low","Y_2",0.607666666666667
"179",12,"AMB","2","Low","Y_2",0.572666666666667
"180",12,"HT","1","Low","Y_2",0.568
"181",12,"HT","2","Low","Y_2",0.587333333333333
"182",13,"AMB","1","Low","Y_2",0.599333333333333
"183",13,"AMB","2","Low","Y_2",0.614
"184",13,"HT","1","Low","Y_2",0.573333333333333
"185",13,"HT","2","Low","Y_2",0.607333333333333
"186",14,"AMB","1","Low","Y_2",0.603
"187",14,"AMB","2","Low","Y_2",0.594333333333333
"188",14,"HT","1","Low","Y_2",0.485
"189",14,"HT","2","Low","Y_2",0.575
"190",15,"AMB","1","Low","Y_2",0.622666666666667
"191",15,"AMB","2","Low","Y_2",0.586333333333333
"192",15,"HT","1","Low","Y_2",0.346
"193",15,"HT","2","Low","Y_2",0.442
"194",16,"AMB","1","Low","Y_2",0.594
"195",16,"AMB","2","Low","Y_2",0.588333333333333
"196",16,"HT","1","Low","Y_2",0.475333333333333
"197",16,"HT","2","Low","Y_2",0.477
"198",17,"AMB","1","Low","Y_2",0.603666666666667
"199",17,"AMB","2","Low","Y_2",0.625333333333333
"200",17,"HT","1","Low","Y_2",0.336333333333333
"201",17,"HT","2","Low","Y_2",0.424666666666667
"202",18,"AMB","1","Low","Y_2",0.617333333333333
"203",18,"AMB","2","Low","Y_2",0.617
"204",18,"HT","1","Low","Y_2",0.207
"205",18,"HT","2","Low","Y_2",0.158666666666667
"206",19,"AMB","1","Low","Y_2",0.577
"207",19,"AMB","2","Low","Y_2",0.538333333333333
"208",19,"HT","1","Low","Y_2",0.165
"209",19,"HT","2","Low","Y_2",0.201
"210",20,"HT","1","Low","Y_2",0.185333333333333
"211",20,"HT","2","Low","Y_2",0.218333333333333
"212",20,"AMB","1","Low","Y_2",0.590666666666667
"213",20,"AMB","2","Low","Y_2",0.607333333333333
"214",1,"AMB","1","High","Y_2",0.595
"215",3,"AMB","1","High","Y_2",0.577666666666667
"216",5,"AMB","1","High","Y_2",0.615
"217",6,"AMB","1","High","Y_2",0.603
"218",7,"AMB","1","High","Y_2",0.578666666666667
"219",1,"AMB","2","High","Y_2",0.627333333333333
"220",3,"AMB","2","High","Y_2",0.578666666666667
"221",5,"AMB","2","High","Y_2",0.637333333333333
"222",6,"AMB","2","High","Y_2",0.575
"223",7,"AMB","2","High","Y_2",0.628666666666667
"224",1,"HT","1","High","Y_2",0.560333333333333
"225",3,"HT","1","High","Y_2",0.591
"226",5,"HT","1","High","Y_2",0.606
"227",6,"HT","1","High","Y_2",0.564333333333333
"228",7,"HT","1","High","Y_2",0.585
"229",1,"HT","2","High","Y_2",0.624
"230",3,"HT","2","High","Y_2",0.613333333333333
"231",6,"HT","2","High","Y_2",0.601666666666667
"232",7,"HT","2","High","Y_2",0.612
"233",8,"AMB","1","High","Y_2",0.534333333333333
"234",8,"AMB","2","High","Y_2",0.592
"235",8,"HT","1","High","Y_2",0.584
"236",8,"HT","2","High","Y_2",0.587666666666667
"237",9,"AMB","1","High","Y_2",0.536
"238",9,"AMB","2","High","Y_2",0.604333333333333
"239",9,"HT","1","High","Y_2",0.496666666666667
"240",9,"HT","2","High","Y_2",0.591666666666667
"241",10,"AMB","1","High","Y_2",0.542666666666667
"242",10,"AMB","2","High","Y_2",0.587
"243",10,"HT","1","High","Y_2",0.512
"244",10,"HT","2","High","Y_2",0.570666666666667
"245",11,"AMB","1","High","Y_2",0.572333333333333
"246",11,"AMB","2","High","Y_2",0.619
"247",11,"HT","1","High","Y_2",0.505333333333333
"248",11,"HT","2","High","Y_2",0.597
"249",12,"AMB","1","High","Y_2",0.604666666666667
"250",12,"AMB","2","High","Y_2",0.599333333333333
"251",12,"HT","1","High","Y_2",0.482666666666667
"252",12,"HT","2","High","Y_2",0.609666666666667
"253",13,"AMB","1","High","Y_2",0.605666666666667
"254",13,"AMB","2","High","Y_2",0.610333333333333
"255",13,"HT","1","High","Y_2",0.578
"256",13,"HT","2","High","Y_2",0.580333333333333
"257",14,"AMB","1","High","Y_2",0.539666666666667
"258",14,"AMB","2","High","Y_2",0.61
"259",14,"HT","1","High","Y_2",0.526666666666667
"260",14,"HT","2","High","Y_2",0.532666666666667
"261",15,"AMB","1","High","Y_2",0.606666666666667
"262",15,"AMB","2","High","Y_2",0.623666666666667
"263",15,"HT","1","High","Y_2",0.469666666666667
"264",15,"HT","2","High","Y_2",0.519
"265",16,"AMB","1","High","Y_2",0.571
"266",16,"AMB","2","High","Y_2",0.620333333333333
"267",16,"HT","1","High","Y_2",0.514333333333333
"268",16,"HT","2","High","Y_2",0.565333333333333
"269",17,"AMB","1","High","Y_2",0.569666666666667
"270",17,"AMB","2","High","Y_2",0.616
"271",17,"HT","1","High","Y_2",0.455666666666667
"272",17,"HT","2","High","Y_2",0.529
"273",18,"AMB","1","High","Y_2",0.615666666666667
"274",18,"AMB","2","High","Y_2",0.626333333333333
"275",18,"HT","1","High","Y_2",0.31
"276",18,"HT","2","High","Y_2",0.538666666666667
"277",19,"AMB","1","High","Y_2",0.64
"278",19,"AMB","2","High","Y_2",0.625666666666667
"279",19,"HT","1","High","Y_2",0.212333333333333
"280",19,"HT","2","High","Y_2",0.392666666666667
"281",20,"HT","1","High","Y_2",0.244666666666667
"282",20,"HT","2","High","Y_2",0.418333333333333
"283",20,"AMB","1","High","Y_2",0.636
"284",20,"AMB","2","High","Y_2",0.619
"285",1,"AMB","1","Low","Y_3",0.618666666666667
"286",3,"AMB","1","Low","Y_3",0.575333333333333
"287",5,"AMB","1","Low","Y_3",0.596
"288",6,"AMB","1","Low","Y_3",0.611666666666667
"289",7,"AMB","1","Low","Y_3",0.606
"290",1,"AMB","2","Low","Y_3",0.596
"291",3,"AMB","2","Low","Y_3",0.606
"292",5,"AMB","2","Low","Y_3",0.583666666666667
"293",6,"AMB","2","Low","Y_3",0.576
"294",7,"AMB","2","Low","Y_3",0.581666666666667
"295",1,"HT","1","Low","Y_3",0.624666666666667
"296",3,"HT","1","Low","Y_3",0.607666666666667
"297",5,"HT","1","Low","Y_3",0.583333333333333
"298",6,"HT","1","Low","Y_3",0.590333333333333
"299",7,"HT","1","Low","Y_3",0.576666666666667
"300",1,"HT","2","Low","Y_3",0.596333333333333
"301",3,"HT","2","Low","Y_3",0.619333333333333
"302",6,"HT","2","Low","Y_3",0.572
"303",7,"HT","2","Low","Y_3",0.569
"304",8,"AMB","1","Low","Y_3",0.542333333333333
"305",8,"AMB","2","Low","Y_3",0.570666666666667
"306",8,"HT","1","Low","Y_3",0.568666666666667
"307",8,"HT","2","Low","Y_3",0.531
"308",9,"AMB","1","Low","Y_3",0.607333333333333
"309",9,"AMB","2","Low","Y_3",0.584666666666667
"310",9,"HT","1","Low","Y_3",0.395333333333333
"311",9,"HT","2","Low","Y_3",0.562333333333333
"312",10,"AMB","1","Low","Y_3",0.592666666666667
"313",10,"AMB","2","Low","Y_3",0.557
"314",10,"HT","1","Low","Y_3",0.558
"315",10,"HT","2","Low","Y_3",0.57
"316",11,"AMB","1","Low","Y_3",0.617333333333333
"317",11,"AMB","2","Low","Y_3",0.566
"318",11,"HT","1","Low","Y_3",0.585
"319",11,"HT","2","Low","Y_3",0.459333333333333
"320",12,"AMB","1","Low","Y_3",0.584
"321",12,"AMB","2","Low","Y_3",0.581666666666667
"322",12,"HT","1","Low","Y_3",0.597
"323",12,"HT","2","Low","Y_3",0.603333333333333
"324",13,"AMB","1","Low","Y_3",0.591666666666667
"325",13,"AMB","2","Low","Y_3",0.587
"326",13,"HT","1","Low","Y_3",0.577666666666667
"327",13,"HT","2","Low","Y_3",0.586
"328",14,"AMB","1","Low","Y_3",0.592666666666667
"329",14,"AMB","2","Low","Y_3",0.594
"330",14,"HT","1","Low","Y_3",0.525333333333333
"331",14,"HT","2","Low","Y_3",0.497333333333333
"332",15,"AMB","1","Low","Y_3",0.62
"333",15,"AMB","2","Low","Y_3",0.595333333333333
"334",15,"HT","1","Low","Y_3",0.526
"335",15,"HT","2","Low","Y_3",0.481666666666667
"336",16,"AMB","1","Low","Y_3",0.581333333333333
"337",16,"AMB","2","Low","Y_3",0.619666666666667
"338",16,"HT","1","Low","Y_3",0.441666666666667
"339",16,"HT","2","Low","Y_3",0.242666666666667
"340",17,"AMB","1","Low","Y_3",0.614
"341",17,"AMB","2","Low","Y_3",0.586666666666667
"342",17,"HT","1","Low","Y_3",0.351666666666667
"343",17,"HT","2","Low","Y_3",0.404
"344",18,"AMB","1","Low","Y_3",0.624666666666667
"345",18,"AMB","2","Low","Y_3",0.61
"346",18,"HT","1","Low","Y_3",0.166666666666667
"347",18,"HT","2","Low","Y_3",0.207333333333333
"348",19,"AMB","1","Low","Y_3",0.628
"349",19,"AMB","2","Low","Y_3",0.62
"350",19,"HT","1","Low","Y_3",0.098
"351",19,"HT","2","Low","Y_3",0.162333333333333
"352",20,"HT","1","Low","Y_3",0.165333333333333
"353",20,"HT","2","Low","Y_3",0.159333333333333
"354",20,"AMB","1","Low","Y_3",0.597666666666667
"355",20,"AMB","2","Low","Y_3",0.560666666666667
"356",1,"AMB","1","High","Y_3",0.599
"357",3,"AMB","1","High","Y_3",0.580333333333333
"358",5,"AMB","1","High","Y_3",0.633333333333333
"359",6,"AMB","1","High","Y_3",0.584333333333333
"360",7,"AMB","1","High","Y_3",0.574
"361",1,"AMB","2","High","Y_3",0.612333333333333
"362",3,"AMB","2","High","Y_3",0.574
"363",5,"AMB","2","High","Y_3",0.634333333333333
"364",6,"AMB","2","High","Y_3",0.612333333333333
"365",7,"AMB","2","High","Y_3",0.621666666666667
"366",1,"HT","1","High","Y_3",0.588333333333333
"367",3,"HT","1","High","Y_3",0.612333333333333
"368",5,"HT","1","High","Y_3",0.583
"369",6,"HT","1","High","Y_3",0.598
"370",7,"HT","1","High","Y_3",0.580333333333333
"371",1,"HT","2","High","Y_3",0.637333333333333
"372",3,"HT","2","High","Y_3",0.638
"373",6,"HT","2","High","Y_3",0.615
"374",7,"HT","2","High","Y_3",0.603666666666667
"375",8,"AMB","1","High","Y_3",0.516
"376",8,"AMB","2","High","Y_3",0.574333333333333
"377",8,"HT","1","High","Y_3",0.539666666666667
"378",8,"HT","2","High","Y_3",0.546666666666667
"379",9,"AMB","1","High","Y_3",0.579666666666667
"380",9,"AMB","2","High","Y_3",0.607
"381",9,"HT","1","High","Y_3",0.374666666666667
"382",9,"HT","2","High","Y_3",0.599
"383",10,"AMB","1","High","Y_3",0.556333333333333
"384",10,"AMB","2","High","Y_3",0.593
"385",10,"HT","1","High","Y_3",0.504333333333333
"386",10,"HT","2","High","Y_3",0.578666666666667
"387",11,"AMB","1","High","Y_3",0.581333333333333
"388",11,"AMB","2","High","Y_3",0.615666666666667
"389",11,"HT","1","High","Y_3",0.548
"390",11,"HT","2","High","Y_3",0.597333333333333
"391",12,"AMB","1","High","Y_3",0.616
"392",12,"AMB","2","High","Y_3",0.612
"393",12,"HT","1","High","Y_3",0.542333333333333
"394",12,"HT","2","High","Y_3",0.585666666666667
"395",13,"AMB","1","High","Y_3",0.602333333333333
"396",13,"AMB","2","High","Y_3",0.622333333333333
"397",13,"HT","1","High","Y_3",0.525
"398",13,"HT","2","High","Y_3",0.611
"399",14,"AMB","1","High","Y_3",0.578333333333333
"400",14,"AMB","2","High","Y_3",0.619
"401",14,"HT","1","High","Y_3",0.528666666666667
"402",14,"HT","2","High","Y_3",0.48
"403",15,"AMB","1","High","Y_3",0.601666666666667
"404",15,"AMB","2","High","Y_3",0.613333333333333
"405",15,"HT","1","High","Y_3",0.564
"406",15,"HT","2","High","Y_3",0.569
"407",16,"AMB","1","High","Y_3",0.562666666666667
"408",16,"AMB","2","High","Y_3",0.627666666666667
"409",16,"HT","1","High","Y_3",0.546666666666667
"410",16,"HT","2","High","Y_3",0.575
"411",17,"AMB","1","High","Y_3",0.604
"412",17,"AMB","2","High","Y_3",0.629333333333333
"413",17,"HT","1","High","Y_3",0.453333333333333
"414",17,"HT","2","High","Y_3",0.571
"415",18,"AMB","1","High","Y_3",0.570666666666667
"416",18,"AMB","2","High","Y_3",0.617666666666667
"417",18,"HT","1","High","Y_3",0.430666666666667
"418",18,"HT","2","High","Y_3",0.507
"419",19,"AMB","1","High","Y_3",0.62
"420",19,"AMB","2","High","Y_3",0.638
"421",19,"HT","1","High","Y_3",0.270333333333333
"422",19,"HT","2","High","Y_3",0.536333333333333
"423",20,"HT","1","High","Y_3",0.264666666666667
"424",20,"HT","2","High","Y_3",0.478
"425",20,"AMB","1","High","Y_3",0.581666666666667
"426",20,"AMB","2","High","Y_3",0.637666666666667
